start_x, alpha, method, result_x, result_f_calls
6, 1.5, Expansion, [-4.39062,1.9375], 0
6, 1.5, Fibonacci, -0.0179982, 54
6, 1.5, Lagrange, 2.24641e-13, 16
6, 3, Expansion, [-14,4], 0
6, 3, Fibonacci, -1.56231, 58
6, 3, Lagrange, 2.25055e-13, 16
6, 5.5, Expansion, [-12.375,5.5], 0
6, 5.5, Fibonacci, -0.0236788, 58
6, 5.5, Lagrange, 2.24884e-13, 16
20, 1.5, Expansion, [-4.62891,9.60938], 0
20, 1.5, Fibonacci, 2.49023, 58
20, 1.5, Lagrange, 2.2485e-13, 16
20, 3, Expansion, [-40.5,13.5], 0
20, 3, Fibonacci, -3.18692, 62
20, 3, Lagrange, 2.24849e-13, 16
20, 5.5, Expansion, [-81.5625,16.75], 0
20, 5.5, Fibonacci, -13.6302, 66
20, 5.5, Lagrange, 2.2442e-13, 16
56, 1.5, Expansion, [60.0625,66.3906], 0
56, 1.5, Fibonacci, 63.2266, 54
